"AS24523","ORION-AS-ID Orion Cyber Internet",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},4939,
"AS56242","SKI-AS-ID PT SUMBER KONEKSI INDOTELEMATIKA",{v: 0.02, f:'0.02%'},{v: 0.00, f: '0.00%'},4926,
"AS55685","JLM-AS-ID PT Jala Lintas Media",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},4838,
"AS17995","SOLUSINET-AS-ID PT iForte Global Internet",{v: 0.37, f:'0.37%'},{v: 0.00, f: '0.00%'},4639,
"AS9340","INDONET-AS-AP INDO Internet, PT",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},4390,
"AS59155","IDNIC-INETKU-AS-ID PT. Pemuda Berkarya Manunggal",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},4170,
"AS24527","DAKARANET-AS-ID Internet Service Provider",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3960,
"AS45305","LDP-AS-ID Lintas Data Prima, PT",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3942,
"AS133797","ACSATA-AS-ID PT Rekajasa Akses",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3924,
"AS4434","ERX-RADNET1-AS PT Rahajasa Media Internet",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3773,
"AS133166","PERTAMINA-AS-ID PT Pertamina (Persero)",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3763,
"AS23671","JMN-AS-ID Jogja Medianet",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3604,
"AS131706","TERABIT-AS-ID PT SELARAS CITRA TERABIT",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3532,
"AS18059","DTPNET-AS-AP DTPNET NAP",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3526,
"AS134655","DUMAIMANDIRINET-AS-ID PT. DUMAI MANDIRI NET",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3268,
"AS46019","UNIBRAW-AS-ID Universitas Brawijaya",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},3168,
